




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Lake Villa 164                1191                          11                            0                             1                             0                             12                            33                            0                             4                             2                             39                            19                            0                             4                             2                             25                            27                            0                             8                             2                             37                            25                            0                             6                             0                             31                            144                           
Lake Villa 165                1104                          8                             2                             5                             0                             15                            16                            3                             4                             0                             23                            13                            1                             6                             0                             20                            12                            1                             3                             0                             16                            13                            1                             0                             0                             14                            88                            
Lake Villa 166                1240                          8                             0                             0                             0                             8                             26                            1                             4                             0                             31                            18                            0                             3                             1                             22                            24                            1                             1                             0                             26                            19                            1                             4                             0                             24                            111                           
Libertyville 167              970                           8                             2                             0                             0                             10                            26                            3                             0                             1                             30                            16                            3                             2                             0                             21                            26                            4                             1                             0                             31                            20                            3                             2                             0                             25                            117                           
Libertyville 168              694                           17                            2                             16                            3                             38                            34                            5                             62                            2                             103                           43                            4                             38                            4                             89                            26                            1                             50                            2                             79                            38                            3                             49                            1                             91                            400                           
Libertyville 169              940                           21                            4                             3                             0                             28                            36                            9                             8                             0                             53                            35                            2                             2                             0                             39                            34                            5                             6                             0                             45                            37                            6                             5                             0                             48                            213                           
Libertyville 170              1026                          14                            6                             0                             0                             20                            22                            12                            4                             1                             39                            15                            7                             1                             0                             23                            18                            6                             5                             0                             29                            15                            6                             4                             0                             25                            136                           
Libertyville 171              1101                          14                            1                             0                             0                             15                            31                            3                             0                             0                             34                            20                            6                             0                             0                             26                            25                            6                             0                             0                             31                            25                            7                             0                             0                             32                            138                           
Libertyville 172              1145                          15                            4                             2                             0                             21                            31                            11                            4                             0                             46                            15                            5                             5                             0                             25                            26                            9                             7                             0                             42                            25                            12                            7                             0                             44                            178                           
Libertyville 173              1102                          10                            3                             7                             0                             20                            35                            9                             7                             0                             51                            27                            11                            4                             0                             42                            26                            7                             5                             0                             38                            29                            11                            6                             0                             46                            197                           
Libertyville 174              921                           20                            1                             0                             0                             21                            38                            8                             1                             0                             47                            31                            4                             0                             0                             35                            39                            4                             0                             0                             43                            34                            7                             0                             0                             41                            187                           
Libertyville 175              901                           0                             1                             2                             2                             5                             1                             5                             8                             2                             16                            0                             2                             4                             0                             6                             3                             3                             8                             0                             14                            2                             4                             7                             2                             15                            56                            
Libertyville 176              1226                          16                            9                             3                             1                             29                            39                            26                            6                             1                             72                            18                            14                            4                             0                             36                            44                            23                            5                             0                             72                            36                            19                            5                             1                             61                            270                           
Libertyville 177              979                           13                            4                             3                             0                             20                            52                            13                            2                             0                             67                            33                            10                            2                             0                             45                            32                            10                            2                             0                             44                            36                            10                            1                             0                             47                            223                           
Libertyville 178              945                           18                            2                             2                             0                             22                            37                            3                             2                             0                             42                            18                            2                             3                             0                             23                            27                            4                             3                             0                             34                            35                            5                             3                             0                             43                            164                           
Libertyville 179              1093                          12                            4                             7                             0                             23                            30                            5                             8                             2                             45                            26                            3                             9                             0                             38                            15                            6                             9                             2                             32                            26                            6                             8                             2                             42                            180                           
Libertyville 180              659                           4                             5                             3                             0                             12                            16                            10                            3                             0                             29                            14                            2                             1                             0                             17                            12                            5                             2                             0                             19                            17                            7                             3                             1                             28                            105                           
Libertyville 181              1112                          7                             1                             1                             0                             9                             22                            2                             3                             0                             27                            20                            2                             1                             0                             23                            18                            3                             3                             0                             24                            26                            3                             4                             0                             33                            116                           
Libertyville 182              954                           18                            3                             0                             0                             21                            46                            9                             1                             0                             56                            28                            2                             0                             0                             30                            31                            5                             1                             0                             37                            37                            8                             1                             0                             46                            190                           
Libertyville 183              972                           16                            2                             0                             0                             18                            49                            12                            7                             0                             68                            33                            4                             2                             1                             40                            32                            6                             4                             1                             43                            27                            8                             7                             1                             43                            212                           
Libertyville 184              905                           31                            3                             0                             0                             34                            49                            14                            7                             0                             70                            16                            4                             5                             0                             25                            25                            9                             9                             0                             43                            44                            10                            10                            0                             64                            236                           
Libertyville 185              1118                          18                            1                             4                             0                             23                            50                            6                             8                             1                             65                            40                            6                             6                             0                             52                            39                            7                             6                             1                             53                            54                            5                             9                             1                             69                            262                           
Libertyville 186              1122                          15                            2                             2                             0                             19                            44                            11                            10                            1                             66                            31                            7                             5                             1                             44                            33                            4                             5                             0                             42                            36                            7                             5                             1                             49                            220                           
Libertyville 187              1031                          22                            8                             0                             0                             30                            66                            15                            9                             0                             90                            39                            5                             3                             0                             47                            44                            7                             4                             0                             55                            46                            6                             5                             0                             57                            279                           
Libertyville 188              1093                          15                            4                             2                             0                             21                            38                            10                            3                             0                             51                            35                            6                             1                             0                             42                            31                            9                             3                             0                             43                            36                            6                             3                             0                             45                            202                           
Libertyville 189              1008                          13                            5                             2                             0                             20                            42                            8                             13                            0                             63                            36                            2                             9                             0                             47                            29                            1                             8                             0                             38                            24                            3                             6                             0                             33                            201                           
Libertyville 190              1137                          14                            3                             1                             0                             18                            39                            2                             4                             1                             46                            26                            3                             4                             0                             33                            26                            3                             4                             1                             34                            23                            3                             4                             1                             31                            162                           
Libertyville 191              788                           8                             0                             1                             0                             9                             23                            1                             2                             0                             26                            15                            0                             2                             0                             17                            18                            0                             5                             0                             23                            20                            0                             5                             0                             25                            100                           
Libertyville 192              1022                          7                             1                             2                             0                             10                            24                            2                             5                             0                             31                            21                            3                             5                             0                             29                            15                            3                             1                             0                             19                            18                            1                             4                             0                             23                            112                           
Libertyville 193              565                           13                            2                             0                             1                             16                            41                            4                             5                             1                             51                            19                            2                             5                             1                             27                            35                            3                             5                             0                             43                            27                            5                             4                             0                             36                            173                           
Libertyville 194              732                           12                            2                             2                             0                             16                            39                            5                             4                             0                             48                            29                            3                             1                             0                             33                            30                            5                             1                             0                             36                            30                            6                             1                             0                             37                            170                           
Libertyville 195              1151                          11                            2                             2                             0                             15                            20                            3                             4                             0                             27                            9                             0                             2                             0                             11                            16                            2                             2                             0                             20                            11                            1                             3                             0                             15                            88                            
Libertyville 196              429                           5                             0                             0                             0                             5                             15                            2                             2                             0                             19                            8                             2                             0                             0                             10                            13                            2                             2                             0                             17                            12                            0                             2                             0                             14                            65                            
Libertyville 197              922                           9                             2                             1                             0                             12                            26                            5                             4                             0                             35                            16                            2                             0                             0                             18                            21                            2                             4                             0                             27                            15                            1                             3                             0                             19                            111                           
Libertyville 198              852                           2                             0                             3                             0                             5                             7                             0                             0                             0                             7                             7                             1                             2                             0                             10                            5                             1                             2                             0                             8                             4                             1                             2                             0                             7                             37                            
Libertyville 199              724                           4                             1                             2                             1                             8                             11                            2                             10                            2                             25                            8                             4                             1                             0                             13                            6                             1                             5                             1                             13                            5                             3                             7                             2                             17                            76                            
Libertyville 200              677                           2                             0                             3                             2                             7                             5                             1                             7                             0                             13                            5                             1                             6                             0                             12                            1                             0                             5                             2                             8                             4                             0                             5                             2                             11                            51                            
Libertyville 201              584                           6                             4                             0                             1                             11                            11                            6                             0                             1                             18                            12                            4                             3                             1                             20                            13                            3                             3                             0                             19                            17                            8                             1                             0                             26                            94                            
Libertyville 202              167                           2                             0                             2                             1                             5                             7                             1                             4                             1                             13                            4                             1                             4                             0                             9                             5                             0                             2                             0                             7                             5                             1                             3                             1                             10                            44                            
Moraine 203                   1099                          5                             4                             0                             2                             11                            11                            7                             9                             1                             28                            4                             11                            6                             1                             22                            9                             6                             7                             1                             23                            10                            8                             6                             1                             25                            109                           
Moraine 204                   1398                          8                             3                             1                             1                             13                            39                            8                             4                             3                             54                            24                            5                             3                             2                             34                            36                            5                             3                             4                             48                            28                            9                             3                             5                             45                            194                           
Moraine 205                   978                           2                             10                            3                             0                             15                            32                            11                            7                             0                             50                            16                            5                             4                             0                             25                            29                            7                             2                             0                             38                            24                            12                            5                             0                             41                            169                           
Moraine 206                   1087                          20                            4                             4                             0                             28                            37                            12                            8                             0                             57                            32                            5                             3                             1                             41                            22                            5                             4                             1                             32                            27                            8                             8                             1                             44                            202                           
Moraine 207                   1189                          14                            3                             1                             0                             18                            47                            3                             5                             0                             55                            46                            7                             4                             0                             57                            39                            3                             7                             0                             49                            42                            5                             6                             0                             53                            232                           
Moraine 208                   1022                          15                            2                             0                             0                             17                            31                            12                            4                             0                             47                            23                            10                            1                             0                             34                            23                            7                             2                             0                             32                            21                            8                             3                             0                             32                            162                           
Moraine 209                   1228                          8                             8                             3                             0                             19                            27                            17                            12                            4                             60                            19                            13                            4                             3                             39                            18                            10                            10                            3                             41                            23                            17                            6                             2                             48                            207                           
Moraine 210                   1201                          9                             4                             8                             0                             21                            22                            11                            18                            0                             51                            18                            7                             17                            0                             42                            17                            11                            13                            0                             41                            14                            8                             12                            0                             34                            189                           
Moraine 211                   1008                          8                             2                             4                             0                             14                            30                            20                            9                             3                             62                            19                            12                            2                             2                             35                            23                            14                            5                             3                             45                            21                            11                            4                             0                             36                            192                           
Moraine 212                   1054                          5                             4                             5                             0                             14                            35                            7                             6                             0                             48                            18                            5                             5                             0                             28                            23                            5                             6                             0                             34                            26                            8                             8                             0                             42                            166                           
Moraine 213                   971                           8                             6                             6                             0                             20                            16                            10                            15                            0                             41                            12                            7                             9                             0                             28                            15                            4                             14                            0                             33                            19                            13                            12                            0                             44                            166                           
Moraine 214                   971                           6                             7                             2                             0                             15                            23                            20                            7                             0                             50                            12                            10                            2                             0                             24                            13                            17                            2                             0                             32                            17                            16                            4                             0                             37                            158                           
Moraine 215                   1011                          6                             10                            1                             1                             18                            19                            22                            12                            7                             60                            8                             10                            6                             4                             28                            13                            12                            4                             5                             34                            12                            18                            6                             4                             40                            180                           
Moraine 216                   888                           8                             2                             4                             1                             15                            26                            10                            14                            1                             51                            21                            5                             8                             0                             34                            15                            6                             7                             1                             29                            22                            7                             6                             0                             35                            164                           
Moraine 217                   1165                          10                            4                             5                             1                             20                            27                            20                            10                            0                             57                            16                            12                            5                             1                             34                            19                            17                            4                             0                             40                            18                            14                            6                             1                             39                            190                           
